UID,Combined Key,Study Identifier,Is Target Cell,Is Naturally Occuring,Object Index,Size,Area,Length,Width,Perimeter,Circularity,"Mean[Stitched[Tsf[:DAPI 377,447]]]","Mean[Stitched[Tsf[:GFP 469,525]]]","Mean[Stitched[Tsf[:CY5 628,685]]]","Peak[Stitched[Tsf[:DAPI 377,447]]]","Peak_2[Stitched[Tsf[:GFP 469,525]]]","Peak_2[Stitched[Tsf[:CY5 628,685]]]","Integral[Stitched[Tsf[:DAPI 377,447]]]","Integral_2[Stitched[Tsf[:GFP 469,525]]]","Integral_2[Stitched[Tsf[:CY5 628,685]]]","Mask Size_2[Stitched[Tsf[:GFP 469,525]]]","Mask Size_2[Stitched[Tsf[:CY5 628,685]]]","Mean_2[Stitched[Tsf[:GFP 469,525]]]","Mean_2[Stitched[Tsf[:CY5 628,685]]]",Mean[Stitched[Tsf[:Bright Field]]],Integral[Stitched[Tsf[:Bright Field]]],X Center Microns,Y Center Microns,ratio,"Peak[Stitched[Tsf[:GFP 469,525]]]","Peak[Stitched[Tsf[:CY5 628,685]]]",X Center Pixels,Y Center Pixels
64112,1A11129191204170421,191204_170421,1,0,1129,23,402,27,18.9,82.7,0.492,43235,11953,3446,63545,32881,10461,6398768,4344508,250176,38.8,11.2,10151,7358,33419,4945984,12667.8,3404.9,3.47,32881,10461,7687.351116,2066.253927
64113,1A11130191204170421,191204_170421,1,0,1130,10,78.7,10.4,9.6,30.9,0.859,36690,13153,6649,63624,29645,14382,1064002,1954159,156328,27,7.5,9579,9771,34241,992976,13325.2,3405.4,1.98,29645,14382,8086.288944,2066.557351
64114,1A11131191204170421,191204_170421,1,0,1131,5.1,19,6.6,3.7,19.6,0.306,11071,7940,4771,12360,13655,0,77497,1251165,0,22.6,0,8629,0,16258,113808,12996.8,3405,1.66,9323,6943,7887.002082,2066.314612
64115,1A11132191204170421,191204_170421,1,0,1132,15.6,190,16.8,14.4,61.7,0.742,18942,56904,5698,36979,57345,9907,1325909,12680020,303299,35.5,12.4,34835,7053,34441,2410848,13363.3,3413.1,9.99,57264,9907,8109.409618,2071.230074
64116,1A11133191204170421,191204_170421,1,0,1133,10.9,92.3,12.3,9.6,33.2,0.606,29860,12991,6450,63171,56987,29290,1015240,2901666,811597,28.1,18.6,12896,9329,19384,659040,14657,3411.1,2.01,37275,13449,8894.480912,2070.01638
64117,1A11134191204170421,191204_170421,1,0,1134,19.3,291,20.5,18.1,63.1,0.776,41919,10251,2393,63548,17325,7418,4485370,3106117,40088,34.8,5.1,9272,5727,33369,3570432,5128.2,3418.6,4.28,17325,7418,3112.006346,2074.567733
64118,1A11135191204170421,191204_170421,1,0,1135,10.9,92.3,11.3,10.4,33.2,0.837,36934,11526,9319,63546,25230,13414,1255741,2161427,547354,30.8,15.8,7888,8049,38975,1325136,5791.3,3416.3,1.24,25230,13414,3514.403173,2073.171985
64119,1A11136191204170421,191204_170421,1,0,1136,16.8,220,17.8,15.8,54.7,0.789,34028,56885,12353,63170,56990,25417,2756307,8883261,992993,34.2,16.2,26597,13240,18092,1465456,14627.9,3422.7,4.61,56990,25417,8876.821815,2077.055807
64120,1A11137191204170421,191204_170421,1,0,1137,11.1,95,12.3,9.8,34.2,0.637,37312,6238,2776,63619,12877,0,1305914,1211789,0,24.6,0,7213,0,30800,1078000,20890.4,3423.1,2.25,10637,5232,12677.16886,2077.298546
64121,1A11138191204170421,191204_170421,1,0,1138,25.2,497,27.3,23.2,81.9,0.725,46603,10884,6676,62908,35034,30187,8528278,4826215,1048277,41,17.6,10225,12049,38579,7060000,17597.6,3436.3,1.63,35034,30187,10678.96004,2085.308928
